序号,词汇,核心词汇,核心词义,情感,词类,内容描述,11-医疗健康,品牌,平台,词源链接,负责人,关联核心词汇,关联核心词义,关联情感,关联词类,关联品类,关联品牌,关联平台 
637,加速度,快速发展,速度的变化与发生这种变化所用的时间的比，即单位时间内速度的变化。加速度是矢量，单位是米/秒”。,中性,旧词新用,"迈好第一步，迈出新气象。今年伊始，江苏省南京江宁开发区深入贯彻落实江宁区委区政府“招大引强拼经济、高质量发展走在前”动员大会工作部署，勇当“拼经济、挑大梁”主力军、先锋队，全面营造民企敢闯、外企敢投的浓厚氛围，掀起重大项目招引建设热潮，夺取一季度“开门红”。

　　在南京市公布的首份“五拼五比晒五榜”竞赛榜单中，江宁开发区两项指标入选“红旗”激励榜：拼开放比创新位列第一，拼服务比环境位列第三，展现出国家级经开区的精神风貌和责任担当。

　　

　　提速招商引资  争当“招大引强”排头兵

　　今年，江宁开发区引进1个百亿元项目——天佑高端环保研发生产基地，2个50亿元项目——液压元件制造基地、中电建江苏勘测设计研究院签约落户，“招大引强”课题成功“破题”。江宁开发区一季度签约项目投资总额完成463.58亿元，占全年目标的33.11%；亿元以上签约项目数46个，占全年目标的29.87%；实际投资总额70.35亿元，占全年目标的25.12%……全面超序时进度。

　　今年以来，江宁开发区大项目不断取得新进展：2月4日，百亿级项目中国电建集团华东区域总部揭牌，总投资186.5亿元重点项目集中签约；3月1日，总投资超200亿元的10个重点产业项目签约落户。其中，液压元件制造基地项目总投资50亿元，项目计划用地143亩，规划建设面积约15万平方米，建设涵盖智能工控仪器仪表、工业机器人、双面双玻光伏组件等成套设备的高端装备研发生产基地。项目全面投产达效后，预计年产值不低于20亿元，税收不低于1亿元。

　　江宁开发区将重大项目招引建设作为园区的首要任务和重点工程，大抓产业、大抓招商、大抓项目，力争全年引入百亿级先进制造业项目2—3个，推进70个实施类重大产业项目。在产业布局上，江宁开发区将全力推进绿色智能汽车、智能电网、新一代信息技术、高端智能装备4大千亿级产业集群规模再翻一番；加快打造未来网络、第三代半导体、百家湖硅巷现代服务业3个百亿级产业集聚区，建设全国一流的“汽车城、智电谷、未来网、航空港”；坚持“走在全国最前列”目标不动摇、不懈怠，力争“十四五”期间综合发展水平跻身国家级经开区前五强方阵。

　　推动引进外商  构建国际化开放型园区

　　赶赴泰国等地招商，紧锣密鼓推进外资项目落地。今年以来，江宁开发区吸引和利用外资力度持续增大，外资成果接踵落地：2月21日，南京江宁开发区举办重大外资项目签约活动，菲尼克斯精益智能示范工厂、百事可乐扩能项目、西门子数字化工业集团运动控制业务亚太区总部、叠拓华东区研发中心、汉桑AIOT智能制造基地项目等10个重大外资项目集中签约，投资总额26亿美元。

　　除了新引进的外商项目，一批深耕江宁的存量外资企业也在增资扩产，释放出经济强劲发展的动力。今年1—2月，江宁开发区到位外资总量、增速和制造业利用外资占比在全市省级以上开发区均居前列，一季度实际利用外资约2.8亿美元，占全年目标的38.36%。

　　江宁开发区优良的现代产业体系和优良的营商环境，是新项目争相落地和老企业增资扩能的强引擎。德国菲尼克斯电气集团在江宁开发区投产发展已有30年，已经成为中德智能制造深入合作的重要参与者。菲尼克斯精益智能示范工厂项目将打造中国领先的绿色、精益和智能示范工厂，刷新菲尼克斯践行工业4.0和智能制造的新高度，在有限空间内，将产能提升2—3倍，产值新增50亿元以上。依托江宁开发区良好的营商环境，此菲尼克斯新工厂项目将被打造成为全价值链深度融合、高效协同的核心制造基地。汉桑（南京）科技股份有限公司开启新项目，在江宁开发区投建了第三座工厂，新的工厂选址于南京综合保税区（江宁），建成后预计年产智慧音视频和物联网相关产品及系统达300万台（套），进一步增强集团公司的核心竞争力和一体化可持续发展能力。

　　外资已成为江宁开发区高质量发展走在前列的重要生力军和贡献者。近年来，江宁开发区全面深化对外开放合作，把打造国际化营商环境、吸引外商投资作为重要工作，大力承接国际产业转移，集聚创新要素。截至目前，园区已累计引入外资项目1200多个，落户世界500强企业100家。

　　提高服务效能  跑出项目招引“加速度”

　　江宁开发区不仅在项目招引上“拼实力”，更在项目推进上“拼服务”，在项目落地上“拼效能”。今年，园区共有70个重大产业项目在建，其中35个是新开工项目。高效打通土地手续等关键环节，2023年新开工项目在一季度的开复工率已达73%。

　　1月3日，江宁区重大产业项目开工活动在位于江宁开发区的中电院南京科研基地项目建设现场举行。江宁开发区有13个重点产业项目集中开工，总投资超过180亿元，中电院南京科研基地单个项目总投资达100亿元。一季度，南京恒立新能源汽车智能控制设备、南瑞继保电气化装备二期等一批重特大项目也顺利开工建设。

　　截至3月底，中国电科第五十五研究所射频集成电路产业化、泉峰年产1200万台电动工具、兆丰华等14个投资强度大、科技含量高、带动作用强的优质项目竣工投产，预计达产后可新增产值278亿元，新增税收23亿元。为加速项目竣工投产，江宁开发区创新推广并联式立体推进模式，力争盛鑫半导体项目6月份投产，粤浦项目一期楼宇年底交付，上汽大众、恒安储能等项目年内实现竣工投产。

　　根据江宁开发区计划，到二季度新开工项目开工率将超90%，三季度实现100%开工，通过持续抢拼项目建设进度、列统投资速度，确保形成谋划一批、在建一批、竣工投产一批特重大项目的良性循环。下一步，江宁开发区将启动新一轮产业链研究工作，进一步明确产业发展方向和工作思路，提升产业发展和招商引资的科学化、专业化水平，为产业高质量发展打下良好基础；强化产业链创新链融合发展，加大区内高校和企业创新合作，确保高校科研成果就地转化；提高基金服务实体经济能力，推动基金在主导产业转型升级、战略性新兴产业发展壮大、未来产业培育发展中发挥更大作用；加大科创载体，转型工业标房和人才公寓“三房”建设运营力度，打造产业功能、城市功能高质量融合发展的典范；精心周密组织大走访活动，摸清企业发展的堵点痛点，了解各类型企业的发展需求，积极回应企业诉求，促进企业更好发展。深化与西藏拉萨经开区、陕西洛南、重庆万州等区域的合作，深入推进资金扶持、项目招引、人才交流、产品购销等对口支援各项工作，有力推动区域经济社会发展。

　　在此基础上，江宁开发区将加快融入新发展格局，把握未来发展主动权，着力推动高质量发展，为建设“强富美高”新江苏作出新的更大贡献。

　　数据来源：江宁经济技术开发区管理委员会",4-数码家电,无,人民日报,http://paper.people.com.cn/rmrb/html/2023-04/25/nw.D110000renmrb_20230425_1-08.htm,,快速发展,速度的变化与发生这种变化所用的时间的比，即单位时间内速度的变化。加速度是矢量，单位是米/秒”。,中性,旧词新用,4-数码家电,无,人民日报
638,活水,持续资源,有源头而常流动的水,中性,旧词新用,"春之南粤，不仅在陆地上演奏着生机勃勃、充满希望的动人乐章，更在蓝色海洋上唱响“海上牧歌”。在广东省湛江市雷州市覃斗镇流沙港的宽广海域上，有一个蓝白相间、巨型长方体设备格外显眼。每天清晨，渔民都会用设备升降机将鱼料撒进网箱，鱼群争食激起朵朵浪花，场面颇为壮观。这是湛江市首个深远海养殖平台——海洋牧场“海威1号”，里面养殖了3万多尾黑鳘鱼，为当地渔民增收致富注入新动能。

　　广东省积极落实党中央决策部署，大力发展海上牧场和深远海养殖，将其作为发展海洋经济的新抓手，加快建设海洋强省。

　　广东依海而立，向海而兴，海洋已成为南粤高质量发展的战略要地。作为金融服务乡村振兴的生力军，中国农业银行广东省分行（简称“农行广东分行”）高度重视海洋牧场金融服务，加大海洋渔业信贷投放力度，为广东筑牢“粤海粮仓”立稳金融支撑“重心柱”。截至今年3月末，农行广东分行在广东地区（不含深圳）投放渔业相关贷款超过60亿元。

　　耕海牧渔   助力广东发展海上牧场

　　2022年4月，“海威1号”正式启用，开始投苗放养。“海威1号”由广东海威农业集团有限公司（简称“海威农业”）建设，采用钢架结构，养殖水体达1.5万立方米，设有先进的平衡系统、宽阔的作业平台，以及各类通道和科学管养设施，抗台风能力可达15级。该平台水上、水下均装有摄像头，能实时监控鱼的活动和水温水质。同时，该平台还能进行海水淡化和生活污水处理等，为科研人员提供养殖试验。

　　“海威1号”首批养殖3万多尾黑鳘鱼，投入两年后预计总产值可达5000万元。由海威农业投资建设的新一代智能养殖平台“海威2号”，正进行最后的收尾工作，计划今年上半年下水，养殖水体达3万立方米以上，单个养殖周期可收获超100万斤优质海鱼。

　　在“海威1号”和“海威2号”的建设过程中，海威农业从农行广东湛江分行共获得2290万元授信支持。目前，海威农业在农行的贷款余额达1945万元。依托海上养殖平台，海威农业将有力推动湛江乃至广东省海水养殖产业高质量发展。在农行支持下，海威农业已构建起海水鱼类育繁推一体化产业体系，待“海威2号”落地后，将与附近传统网箱结合，形成“网箱+基地”养殖模式，打造综合性深海养殖示范基地。

　　今年以来，农行广东分行积极围绕现代化海洋牧场建设，出台金融服务海洋牧场发展“十条”措施，主动对接省市县政府及相关部门，立足各地海洋资源禀赋和发展定位，围绕重点项目规划和融资需求，制定金融服务方案，给予专项授信，因地制宜为海洋牧场各类行业、主体、项目提供全周期金融服务。创新推广“海洋牧场发展贷”专属产品，全链条加大信贷支持，积极助力湛江、阳江等重点地区建设海洋牧场示范区，为广东培育万亿级海上牧场产业集群注入源源不断的金融“活水”。截至今年3月末，农行广东分行专项支持海洋牧场贷款超过20亿元。

　　金融支撑   助力广东筑牢“粤海粮仓”

　　广东省45个沿海县（市、区）是落实国家粮食安全战略、实施“百县千镇万村高质量发展工程”的重要阵地，建设海上牧场也成为广东省保障粮食安全、实现县域振兴、促进城乡区域协调发展的关键一环。

　　筑牢“粤海粮仓”，金融一马当先。今年3月，广东省出台《2023年广东金融支持经济高质量发展行动方案》，提出实施“金融+海洋”工程，支持银行机构成立服务海洋经济发展的专营事业部和分支机构，加大对海洋经济发展重大项目的中长期信贷支持。

　　农行广东分行认真贯彻落实党中央决策部署，按照广东省委省政府工作安排，持续加大信贷投入，创新海洋牧场金融产品和服务，为广东打造“粤海粮仓”提供强力金融支撑。

　　除了对海洋牧场单独配置信贷规模，农行广东湛江分行还加强产品创新，采用农业龙头企业贷、现代农业产业园实施主体贷、贸易融资、链捷贷、抵押e贷、惠农e贷等多种特色产品，优先满足海洋牧场各主体、各环节融资需求，通过“线上+线下”加大海洋渔业信贷投放力度，支持湛江耕好蓝色“远洋田”，筑牢海上“新粮仓”。

　　截至今年3月末，农行广东湛江分行共为22家海洋养殖企业、2600多户海洋养殖农户提供信贷支持。在农行金融支持下，湛江市已有3500多个深海网箱投入使用，数量占广东省总量的70%，未来还将加快建设形成全球海洋水产养殖产业高地。

　　当前，广东省正加快推进现代化海上牧场建设，着力培育万亿级现代化海上牧场产业集群。接下来，农行广东分行将持续聚焦海洋牧场领域，加快落实金融服务海洋牧场发展“十条”措施，为广东省打造“百县千镇万村高质量发展工程”新增长极、全面实现乡村振兴贡献力量。

　　数据来源：中国农业银行广东省分行",7-金融保险,中国农业银行,人民日报,http://paper.people.com.cn/rmrb/html/2023-04/18/nw.D110000renmrb_20230418_1-08.htm,,持续资源,有源头而常流动的水,中性,旧词新用,7-金融保险,中国农业银行,人民日报
639,e贷,线上贷款,通过电子渠道申请的贷款产品,中性,字母词汇,"春之南粤，不仅在陆地上演奏着生机勃勃、充满希望的动人乐章，更在蓝色海洋上唱响“海上牧歌”。在广东省湛江市雷州市覃斗镇流沙港的宽广海域上，有一个蓝白相间、巨型长方体设备格外显眼。每天清晨，渔民都会用设备升降机将鱼料撒进网箱，鱼群争食激起朵朵浪花，场面颇为壮观。这是湛江市首个深远海养殖平台——海洋牧场“海威1号”，里面养殖了3万多尾黑鳘鱼，为当地渔民增收致富注入新动能。

　　广东省积极落实党中央决策部署，大力发展海上牧场和深远海养殖，将其作为发展海洋经济的新抓手，加快建设海洋强省。

　　广东依海而立，向海而兴，海洋已成为南粤高质量发展的战略要地。作为金融服务乡村振兴的生力军，中国农业银行广东省分行（简称“农行广东分行”）高度重视海洋牧场金融服务，加大海洋渔业信贷投放力度，为广东筑牢“粤海粮仓”立稳金融支撑“重心柱”。截至今年3月末，农行广东分行在广东地区（不含深圳）投放渔业相关贷款超过60亿元。

　　耕海牧渔   助力广东发展海上牧场

　　2022年4月，“海威1号”正式启用，开始投苗放养。“海威1号”由广东海威农业集团有限公司（简称“海威农业”）建设，采用钢架结构，养殖水体达1.5万立方米，设有先进的平衡系统、宽阔的作业平台，以及各类通道和科学管养设施，抗台风能力可达15级。该平台水上、水下均装有摄像头，能实时监控鱼的活动和水温水质。同时，该平台还能进行海水淡化和生活污水处理等，为科研人员提供养殖试验。

　　“海威1号”首批养殖3万多尾黑鳘鱼，投入两年后预计总产值可达5000万元。由海威农业投资建设的新一代智能养殖平台“海威2号”，正进行最后的收尾工作，计划今年上半年下水，养殖水体达3万立方米以上，单个养殖周期可收获超100万斤优质海鱼。

　　在“海威1号”和“海威2号”的建设过程中，海威农业从农行广东湛江分行共获得2290万元授信支持。目前，海威农业在农行的贷款余额达1945万元。依托海上养殖平台，海威农业将有力推动湛江乃至广东省海水养殖产业高质量发展。在农行支持下，海威农业已构建起海水鱼类育繁推一体化产业体系，待“海威2号”落地后，将与附近传统网箱结合，形成“网箱+基地”养殖模式，打造综合性深海养殖示范基地。

　　今年以来，农行广东分行积极围绕现代化海洋牧场建设，出台金融服务海洋牧场发展“十条”措施，主动对接省市县政府及相关部门，立足各地海洋资源禀赋和发展定位，围绕重点项目规划和融资需求，制定金融服务方案，给予专项授信，因地制宜为海洋牧场各类行业、主体、项目提供全周期金融服务。创新推广“海洋牧场发展贷”专属产品，全链条加大信贷支持，积极助力湛江、阳江等重点地区建设海洋牧场示范区，为广东培育万亿级海上牧场产业集群注入源源不断的金融“活水”。截至今年3月末，农行广东分行专项支持海洋牧场贷款超过20亿元。

　　金融支撑   助力广东筑牢“粤海粮仓”

　　广东省45个沿海县（市、区）是落实国家粮食安全战略、实施“百县千镇万村高质量发展工程”的重要阵地，建设海上牧场也成为广东省保障粮食安全、实现县域振兴、促进城乡区域协调发展的关键一环。

　　筑牢“粤海粮仓”，金融一马当先。今年3月，广东省出台《2023年广东金融支持经济高质量发展行动方案》，提出实施“金融+海洋”工程，支持银行机构成立服务海洋经济发展的专营事业部和分支机构，加大对海洋经济发展重大项目的中长期信贷支持。

　　农行广东分行认真贯彻落实党中央决策部署，按照广东省委省政府工作安排，持续加大信贷投入，创新海洋牧场金融产品和服务，为广东打造“粤海粮仓”提供强力金融支撑。

　　除了对海洋牧场单独配置信贷规模，农行广东湛江分行还加强产品创新，采用农业龙头企业贷、现代农业产业园实施主体贷、贸易融资、链捷贷、抵押e贷、惠农e贷等多种特色产品，优先满足海洋牧场各主体、各环节融资需求，通过“线上+线下”加大海洋渔业信贷投放力度，支持湛江耕好蓝色“远洋田”，筑牢海上“新粮仓”。

　　截至今年3月末，农行广东湛江分行共为22家海洋养殖企业、2600多户海洋养殖农户提供信贷支持。在农行金融支持下，湛江市已有3500多个深海网箱投入使用，数量占广东省总量的70%，未来还将加快建设形成全球海洋水产养殖产业高地。

　　当前，广东省正加快推进现代化海上牧场建设，着力培育万亿级现代化海上牧场产业集群。接下来，农行广东分行将持续聚焦海洋牧场领域，加快落实金融服务海洋牧场发展“十条”措施，为广东省打造“百县千镇万村高质量发展工程”新增长极、全面实现乡村振兴贡献力量。

　　数据来源：中国农业银行广东省分行",7-金融保险,中国农业银行,人民日报,http://paper.people.com.cn/rmrb/html/2023-04/18/nw.D110000renmrb_20230418_1-08.htm,,线上贷款,通过电子渠道申请的贷款产品,中性,字母词汇,7-金融保险,中国农业银行,人民日报
640,人气,受欢迎程度,人或事物的受欢迎程度,中性,旧词新用,在全球，椰子鞋都有着极高的人气。,3-服饰鞋帽,无,中国新闻网,https://www.chinanews.com.cn/cj/2023/07-29/10051875.shtml,,受欢迎程度,人或事物的受欢迎程度,中性,旧词新用,3-服饰鞋帽,无,中国新闻网
641,助力,帮助,帮助,中性,旧词新用,,,无,中国新闻网,https://www.chinanews.com.cn/cj/2023/07-04/10036622.shtml,,帮助,帮助,中性,旧词新用,,无,中国新闻网
642,品冠天下,品质优越,品质卓越，享誉全国,中性,新造词汇,东台西瓜 品冠天下,1-餐饮食品,东台西瓜,农民日报,https://szb.farmer.com.cn/2023/20231013/20231013_004/20231013_004_6.htm,,品质优越,品质卓越，享誉全国,中性,新造词汇,1-餐饮食品,东台西瓜,农民日报
643,一带一路,国际合作,指“丝绸之路经济带”和“21世纪海上丝绸之路”的倡议，推动沿线国家合作发展,中性,旧词新用,深度融入“一带一路”、高效落实中国—上海合作组织地方经贸合作示范区,7-金融保险,无,科技日报,http://digitalpaper.stdaily.com/http_www.kjrb.com/kjrb/html/2021-02/04/content_462426.htm?div=-1,,国际合作,指“丝绸之路经济带”和“21世纪海上丝绸之路”的倡议，推动沿线国家合作发展,中性,旧词新用,7-金融保险,无,科技日报
644,智囊团,,,中性,旧词新用,,,无,科技日报,http://digitalpaper.stdaily.com/http_www.kjrb.com/kjrb/html/2021-04/26/node_8.htm,,,,中性,旧词新用,,无,科技日报
645,共享,,,中性,旧词新用,,,无,科技日报,http://digitalpaper.stdaily.com/http_www.kjrb.com/kjrb/html/2021-06/01/content_468660.htm?div=-1,,,,中性,旧词新用,,无,科技日报
646,先行,,,中性,旧词新用,,,无,科技日报,http://digitalpaper.stdaily.com/http_www.kjrb.com/kjrb/html/2021-05/20/content_468004.htm?div=-1,,,,中性,旧词新用,,无,科技日报
647,破题,,,中性,旧词新用,,,无,科技日报,http://digitalpaper.stdaily.com/http_www.kjrb.com/kjrb/html/2022-07/08/content_538255.htm?div=0,,,,中性,旧词新用,,无,科技日报
648,踏歌,,,中性,旧词新用,,,无,科技日报,http://digitalpaper.stdaily.com/http_www.kjrb.com/kjrb/html/2022-10/12/content_542644.htm?div=1,,,,中性,旧词新用,,无,科技日报
649,新赛道,,,中性,旧词新用,,,无,科技日报,http://digitalpaper.stdaily.com/http_www.kjrb.com/kjrb/html/2022-11/10/content_544178.htm?div=-1,,,,中性,旧词新用,,无,科技日报
650,策源地,,"
",中性,旧词新用,,,无,科技日报,http://digitalpaper.stdaily.com/http_www.kjrb.com/kjrb/html/2022-11/07/content_544009.htm?div=-1,,,"
",中性,旧词新用,,无,科技日报
651,限定浪漫,限时浪漫,限时、限地的浪漫体验或产品,积极,旧词新用,召唤好友打卡限定浪漫,8-旅游文娱,无,新浪微博,https://weibo.com/1746419880/Np0N0eOki,,限时浪漫,限时、限地的浪漫体验或产品,积极,旧词新用,8-旅游文娱,无,新浪微博
652,大赏,欣赏,中展示、欣赏某一类事物,中性,旧词新用,火速围观年轻人的清香疗愈大赏,2-美妆个护,无,新浪微博,https://weibo.com/1746419880/Njxpp7Aiy,,欣赏,中展示、欣赏某一类事物,中性,旧词新用,2-美妆个护,无,新浪微博
653,诚不欺我,确实如此,表示确实如此，没有欺骗我,中性,旧词新用,"好家伙，果真长得如此之大！
瓜学家诚不欺我，
神秘饮品明天就能喝到啦！
小伙伴们不要错过哦~",1-餐饮食品,无,新浪微博,https://weibo.com/6230977946/NptRcqL7E,,确实如此,表示确实如此，没有欺骗我,中性,旧词新用,1-餐饮食品,无,新浪微博
654,守护,保护,看守保护,中性,旧词新用,你的美丽，由koko我来守护,2-美妆个护,BearKoKo熊九九,新浪微博,https://weibo.com/7524898300/Nje2l9cQ5,,保护,看守保护,中性,旧词新用,2-美妆个护,BearKoKo熊九九,新浪微博
655,感知,感觉,客观事物通过感觉器官在人脑中的反映，比感觉复杂、完整,中性,旧词新用,重塑潮流、独特、个性的感知,3-服饰鞋帽,无,新浪微博,https://weibo.com/2716039051/KFTifyoBZ,,感觉,客观事物通过感觉器官在人脑中的反映，比感觉复杂、完整,中性,旧词新用,3-服饰鞋帽,无,新浪微博
656,重磅登场,隆重推出,重要事物或产品隆重推出,中性,旧词新用,️三分熟芝士重磅登场,1-餐饮食品,好利来,新浪微博,https://weibo.com/1879231473/NpcbucWOK,,隆重推出,重要事物或产品隆重推出,中性,旧词新用,1-餐饮食品,好利来,新浪微博
657,惊喜来袭,惊喜到来,令人惊喜的事物或活动突然出现,积极,旧词新用,好利来Hello Kitty万圣节合作系列 惊喜来袭,1-餐饮食品,好利来,新浪微博,https://weibo.com/1879231473/NoH9iD9Tq,,惊喜到来,令人惊喜的事物或活动突然出现,积极,旧词新用,1-餐饮食品,好利来,新浪微博
658,炸场、多巴胺,热烈精彩,气氛热烈、令人兴奋,积极,旧词新用,乐创无界，梦幻联动，多巴胺迎来爆发巅峰,1-餐饮食品,好利来,新浪微博,https://weibo.com/1879231473/NnD9VqQZp,,热烈精彩,气氛热烈、令人兴奋,积极,旧词新用,1-餐饮食品,好利来,新浪微博
659,不加油运动市集,环保市集,倡导环保、低碳的运动主题市集,中性,新造词汇,最近很喜欢在公司前的「不加油运动市集」遛gai[阴险]欢迎大家来打卡偶遇！,1-餐饮食品,麦当劳,新浪微博,https://weibo.com/1947211342/NpjDZxlxF,,环保市集,倡导环保、低碳的运动主题市集,中性,新造词汇,1-餐饮食品,麦当劳,新浪微博
660,拿捏,掌握,掌握、把握,中性,新造词汇,秋冬街边氛围感狠狠拿捏住,1-餐饮食品,Sevenbus,新浪微博,https://weibo.com/6475139801/No8tre0Kv,,掌握,掌握、把握,中性,新造词汇,1-餐饮食品,Sevenbus,新浪微博
661,必杀技,绝招,最擅长、最有效的手段或技巧,中性,旧词新用,“新皮肤”必杀技大揭秘,4-数码家电,无,新浪微博,https://weibo.com/1606713092/Np0KT8uGP,,绝招,最擅长、最有效的手段或技巧,中性,旧词新用,4-数码家电,无,新浪微博
662,漫享,享受,悠闲、放松地享受某一事物或时光,中性,简略词汇,轻启秋冬，漫享户外。,3-服饰鞋帽,蕉下,新浪微博,https://weibo.com/3354054542/Npadv5QMe,,享受,悠闲、放松地享受某一事物或时光,中性,简略词汇,3-服饰鞋帽,蕉下,新浪微博
663,玩味新篇章,趣味,以有趣、轻松的方式开启新阶段,中性,新造词汇,一起开启玩味之旅新篇章,1-餐饮食品,无,新浪微博,https://weibo.com/3283000062/NpwBGaNAI?refer_flag=1001030103_,,趣味,以有趣、轻松的方式开启新阶段,中性,新造词汇,1-餐饮食品,无,新浪微博
664,邂逅,偶遇,偶然遇见或不期而遇,中性,旧词新用,"愿你在这宁静的夜里，
和三丽鸥小伙伴们一起被浪漫包裹，邂逅甜蜜好梦",3-服饰鞋帽,TOPTOY,新浪微博,https://weibo.com/7519571372/Npadv5QPB,,偶遇,偶然遇见或不期而遇,中性,旧词新用,3-服饰鞋帽,TOPTOY,新浪微博
665,公主请听,请听,以轻松、亲切的语气向女性用户推荐产品或内容,中性,新造词汇,公主请听——鲍师傅要上新咖啡风味小贝了,1-餐饮食品,鲍师傅,新浪微博,https://weibo.com/6458922908/Npl2zrUg3,,请听,以轻松、亲切的语气向女性用户推荐产品或内容,中性,新造词汇,1-餐饮食品,鲍师傅,新浪微博
666,点点心意,小心意,微小但用心的小礼物或关怀,中性,新造词汇,点点新意，唯有爱与美食不可辜负,1-餐饮食品,陶陶居酒家,新浪微博,https://weibo.com/3417246264/NpuT97esw,,小心意,微小但用心的小礼物或关怀,中性,新造词汇,1-餐饮食品,陶陶居酒家,新浪微博
667,轻负担,轻松,轻松、无压力的体验或产品,中性,旧词新用,软糯紫米香甜不腻，低脂肪轻负担,1-餐饮食品,田园主义轻食家,新浪微博,https://weibo.com/6600229310/NootSoAze,,轻松,轻松、无压力的体验或产品,中性,旧词新用,1-餐饮食品,田园主义轻食家,新浪微博
668,摆烂,放任,放任自流、不努力的状态,中性,新造词汇,摆拦使我快乐,12-游戏应用,无,新浪微博,https://weibo.com/7792666529/4956430732627630,,放任,放任自流、不努力的状态,中性,新造词汇,12-游戏应用,无,新浪微博
669,高性能,性能卓越,产品性能卓越、表现突出,积极,旧词新用,更是让世界看到了中国在纯电高性能领域的强悍实力，值得点赞[围观][赞],5-汽车出行,极氪,新浪微博,https://weibo.com/1363450462/4961456466693004,,性能卓越,产品性能卓越、表现突出,积极,旧词新用,5-汽车出行,极氪,新浪微博
670,新手,初学者,初参加某种工作的人,中性,旧词新用,新手小白也能轻松上手,2-美妆个护,无,新浪微博,https://weibo.com/6078178681/4960358277057002,,初学者,初参加某种工作的人,中性,旧词新用,2-美妆个护,无,新浪微博
671,小白,新手,初学者或新手,中性,新造词汇,新手小白也能轻松上手,2-美妆个护,无,新浪微博,https://weibo.com/6078178681/4960358277057002,,新手,初学者或新手,中性,新造词汇,2-美妆个护,无,新浪微博
672,上手,开始,开始使用或动手,中性,旧词新用,新手小白也能轻松上手,2-美妆个护,无,新浪微博,https://weibo.com/6078178681/4960358277057002,,开始,开始使用或动手,中性,旧词新用,2-美妆个护,无,新浪微博
673,水光,水润光泽,肌肤水润、光泽的状态,积极,旧词新用, 一起来做水光富翁吧,2-美妆个护,无,新浪微博,https://weibo.com/5745465702/4962577699048796,,水润光泽,肌肤水润、光泽的状态,积极,旧词新用,2-美妆个护,无,新浪微博
674,先机,优势,抢先一步的优势或机会,积极,新造词汇,抢占制敌先机,12-游戏应用,AMD中国,新浪微博,https://weibo.com/1883832215/4963328515642394,,优势,抢先一步的优势或机会,积极,新造词汇,12-游戏应用,AMD中国,新浪微博
675,超威武器,强力工具,非常强大、有效的工具,积极,新造词汇,「超威武器」加持不尽勇气,12-游戏应用,AMD中国,新浪微博,https://weibo.com/1883832215/4963328515642394,,强力工具,非常强大、有效的工具,积极,新造词汇,12-游戏应用,AMD中国,新浪微博
676,较真,认真,非常认真,中性,旧词新用,#没啥了不起只是更较真#,10-家居生活,恒洁,新浪微博,https://weibo.com/1565854693/4962600833519315,,认真,非常认真,中性,旧词新用,10-家居生活,恒洁,新浪微博
677,点赞,支持,用手机、电脑等在网上点击“赞”的标记表示称赞，也泛指赞扬、支持,积极,旧词新用,今日份的点赞送给R9～,10-家居生活,恒洁,新浪微博,https://weibo.com/1565854693/4962600833519315,,支持,用手机、电脑等在网上点击“赞”的标记表示称赞，也泛指赞扬、支持,积极,旧词新用,10-家居生活,恒洁,新浪微博
678,守护,维护,保护、维护某一事物或价值观,积极,旧词新用,共同守护绿水青山,11-医疗健康,无,新浪微博,https://weibo.com/3925308009/4949450616996440,,维护,保护、维护某一事物或价值观,积极,旧词新用,11-医疗健康,无,新浪微博
679,邂逅,偶遇,偶然相遇或发现美好事物,中性,新造词汇,非常期待与大家邂逅新杭州,8-旅游文娱,无,新浪微博,https://weibo.com/3925308009/4936442255507551,,偶遇,偶然相遇或发现美好事物,中性,新造词汇,8-旅游文娱,无,新浪微博
680,限量,限定数量,限定范围、数量,积极,旧词新用,何运晨专厅已刷卡买下（叉腰），100座限量放送,12-游戏应用,芒果tv,新浪微博,https://weibo.com/3925308009/4930256706732449,,限定数量,限定范围、数量,积极,旧词新用,12-游戏应用,芒果tv,新浪微博
681,隐藏款,特殊款,限量或特殊版本的产品,积极,旧词新用,何·碟中谍·运晨闪亮登场,12-游戏应用,芒果tv,新浪微博,https://weibo.com/3925308009/4930256706732449,,特殊款,限量或特殊版本的产品,积极,旧词新用,12-游戏应用,芒果tv,新浪微博
682,闪亮登场,隆重出场,隆重、引人注目地出现或推出,积极,旧词新用,让我看看谁能领到我的隐藏款[并不简单] ,12-游戏应用,芒果tv,新浪微博,https://weibo.com/3925308009/4930256706732449,,隆重出场,隆重、引人注目地出现或推出,积极,旧词新用,12-游戏应用,芒果tv,新浪微博
683,家人们,朋友们,对受众的亲切称呼,中性,旧词新用,家人们。。谁懂啊,1-餐饮食品,无,新浪微博,https://weibo.com/7817803268/4905797446009619,,朋友们,对受众的亲切称呼,中性,旧词新用,1-餐饮食品,无,新浪微博
684,谁懂啊,求理解,寻求共鸣,中性,旧词新用,家人们。。谁懂啊,1-餐饮食品,无,新浪微博,https://weibo.com/7817803268/4905797446009619,,求理解,寻求共鸣,中性,旧词新用,1-餐饮食品,无,新浪微博
685,放肆嗨,享受,尽情享受、放松玩乐,积极,新造词汇,在音乐的律动下放肆嗨~,4-数码家电,富士,新浪微博,https://weibo.com/7275525985/4963328720113831,,享受,尽情享受、放松玩乐,积极,新造词汇,4-数码家电,富士,新浪微博
